adult,budget,TMDb_id,popularity,release_year,status,title,vote_average,Netflix_id,on_Netflix
True,0.0,124636,0.001838,1995,Released,Sonic Outlaws,0.0,,False
True,0.0,9101,5.184977,1996,Released,Down Periscope,5.6,,False
True,0.0,123360,0.276401,1995,Released,From the Journals of Jean Seberg,6.5,,False
True,0.0,5757,0.540436,1995,Released,Man of the Year,3.8,,False
True,0.0,39428,0.370342,1995,Released,The Neon Bible,7.2,,False
True,0.0,124639,0.001205,1995,Released,Target,0.0,s4376,True
True,60000000.0,9302,3.402749,1996,Released,Up Close & Personal,5.9,,False
True,31000000.0,11000,6.49968,1996,Released,The Birdcage,6.7,,False
True,0.0,249882,0.918504,1995,Released,Virgin Mary,7.0,,False
True,0.0,16388,2.039196,1995,Released,The Brothers McMullen,6.3,,False
True,19000000.0,9737,9.262184,1995,Released,Bad Boys,6.5,s6212,True
True,0.0,30765,2.375865,1995,Released,The Amazing Panda Adventure,5.0,,False
True,0.0,10474,7.415144,1995,Released,The Basketball Diaries,7.2,,False
True,4000000.0,22279,0.922958,1995,Released,An Awfully Big Adventure,6.0,,False
True,0.0,30157,1.759012,1994,Released,Amateur,6.5,s4936,True
True,52000000.0,568,18.761467,1995,Released,Apollo 13,7.3,,False
True,28000000.0,11780,10.193549,1995,Released,Rob Roy,6.5,,False
True,0.0,34996,3.137285,1995,Released,The Addiction,6.4,,False
True,100000000.0,414,13.321354,1995,Released,Batman Forever,5.2,,False
True,0.0,649,10.142662,1967,Released,Belle de Jour,7.3,,False
True,0.0,1873,2.04189,1995,Released,Beyond Rangoon,6.4,,False
True,2000000.0,5894,11.528147,1995,Released,Blue in the Face,6.8,,False
True,11000000.0,1775,5.391556,1995,Released,Canadian Bacon,5.9,,False
True,50000000.0,8839,12.812539,1995,Released,Casper,6.0,,False
True,25000000.0,20649,4.558992,1995,Released,Clockers,6.8,,False
True,50000000.0,10329,7.260574,1995,Released,Congo,5.0,s568,True
True,53000000.0,8963,8.657365,1995,Released,Crimson Tide,7.0,,False
True,0.0,26564,3.620388,1994,Released,Crumb,7.6,,False
True,7000000.0,8068,6.950458,1995,Released,Desperado,6.8,,False
True,27000000.0,8512,4.646132,1995,Released,Devil in a Blue Dress,6.3,,False
True,90000000.0,1572,15.138855,1995,Released,Die Hard: With a Vengeance,6.9,,False
True,0.0,13552,7.120806,1995,Released,The Doom Generation,5.6,,False
True,0.0,259209,0.523575,1995,Released,Feast of July,0.0,,False
True,55000000.0,6520,15.178338,1995,Released,First Knight,5.9,,False
True,0.0,9073,7.575098,1995,Released,Free Willy 2 - The Adventure Home,5.5,,False
True,20000000.0,10428,14.810519,1995,Released,Hackers,6.2,,False
True,0.0,17447,3.196456,1995,Released,Jeffrey,6.5,,False
True,25000000.0,9886,11.715868,1995,Released,Johnny Mnemonic,5.5,,False
True,90000000.0,9482,8.184815,1995,Released,Judge Dredd,5.4,,False
True,0.0,19326,3.676921,1995,Released,Jury Duty,4.0,,False
True,1500000.0,9344,4.877872,1995,Released,Kids,6.8,,False
True,500000.0,9071,10.058329,1995,Released,Living in Oblivion,7.2,,False
True,0.0,8973,4.102409,1995,Released,Lord of Illusions,5.9,,False
True,0.0,15730,0.354014,1993,Released,Love & Human Remains,7.0,,False
True,0.0,47608,2.624771,1995,Released,Mad Love,5.5,,False
True,6000000.0,2293,8.25547,1995,Released,Mallrats,6.8,,False
True,15000000.0,9070,7.024227,1995,Released,Mighty Morphin Power Rangers: The Movie,5.2,,False
True,0.0,68274,1.01115,1995,Released,Moonlight and Valentino,5.6,,False
True,2.0,48787,2.466066,1995,Released,Mute Witness,6.4,,False
True,0.0,34574,7.720056,1994,Released,Nadja,5.9,,False
True,22000000.0,1642,13.304342,1995,Released,The Net,5.6,s359,True
True,0.0,11472,8.482834,1995,Released,Nine Months,5.5,,False
True,150000.0,36196,1.165039,1995,Released,Party Girl,5.8,,False
True,8.0,11980,10.187623,1995,Released,The Prophecy,6.4,,False
True,0.0,58372,0.119713,1995,Released,Reckless,10.0,,False
True,50000000.0,10533,6.752119,1995,Released,The Scarlet Letter,5.5,,False
True,0.0,56088,0.159596,1995,,The Show,5.3,s8506,True
True,45000000.0,10802,17.502375,1995,Released,Showgirls,4.9,,False
True,7000000.0,10149,5.552946,1995,Released,Smoke,7.2,,False
True,0.0,18402,3.743212,1995,Released,Something to Talk About,5.7,,False
True,35000000.0,9348,13.492845,1995,Released,Species,5.5,,False
True,0.0,139408,0.913522,1995,Released,The Stars Fell on Henrietta,6.6,,False
True,42000000.0,281,11.223055,1995,Released,Strange Days,6.8,,False
True,0.0,5967,8.133881,1964,Released,The Umbrellas of Cherbourg,7.6,,False
True,14000000.0,79593,1.820419,1995,Released,The Tie That Binds,4.6,,False
True,0.0,47939,11.002046,1995,Released,Three Wishes,6.1,,False
True,0.0,36834,4.546552,1995,Released,Total Eclipse,6.5,,False
True,0.0,9090,7.653446,1995,Released,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,s8599,True
True,60000000.0,3512,7.490247,1995,Released,Under Siege 2: Dark Territory,5.6,,False
True,0.0,52856,2.881689,1995,Released,Unstrung Heroes,6.4,,False
True,0.0,77350,0.786023,1995,Released,Unzipped,6.0,,False
True,20000000.0,9560,9.715639,1995,Released,A Walk in the Clouds,6.5,,False
True,175000000.0,9804,16.885184,1995,Released,Waterworld,5.9,,False
True,8000000.0,31611,1.834099,1995,Released,White Man's Burden,5.1,,False
True,30000000.0,65796,8.922139,1995,Released,Wild Bill,5.9,,False
True,0.0,49805,3.727644,1994,Released,The Browning Version,6.0,,False
True,0.0,26258,3.287036,1995,Released,Bushwhacked,4.9,,False
True,2800000.0,50797,2.486073,1994,Released,Burnt by the Sun,6.7,,False
True,0.0,19155,3.525649,1994,Released,Before the Rain,7.7,,False
True,2500000.0,76,11.304979,1995,Released,Before Sunrise,7.7,,False
True,10000000.0,11017,6.638116,1995,Released,Billy Madison,6.2,,False
True,0.0,37141,2.761837,1995,Released,The Babysitter,4.7,s5227,True
True,21000000.0,9382,3.030309,1995,Released,Boys on the Side,6.3,,False
True,0.0,6715,2.686342,1995,Released,The Cure,7.2,,False
True,0.0,18256,2.26977,1995,Released,Castle Freak,5.8,,False
True,0.0,22625,2.605521,1995,Released,Circle of Friends,6.5,,False
True,27000.0,2292,10.513367,1994,Released,Clerks,7.4,,False
True,25000000.0,1909,7.438934,1994,Released,Don Juan DeMarco,6.3,,False
True,55000000.0,8984,11.812244,1994,Released,Disclosure,5.9,s2356,True
True,0.0,61813,0.155859,1995,Released,Dream Man,2.5,,False
True,45000000.0,4954,9.579155,1994,Released,Drop Zone,5.1,,False
True,0.0,62488,0.710671,1995,Released,Destiny Turns on the Radio,5.3,,False
True,0.0,10531,5.484156,1994,Released,Death and the Maiden,7.1,,False
True,0.0,11929,5.8025,1995,Released,Dolores Claiborne,7.1,,False
True,16000000.0,8467,9.844558,1994,Released,Dumb and Dumber,6.5,,False
True,0.0,10451,4.860016,1994,Released,Eat Drink Man Woman,7.5,,False
True,0.0,20156,5.378467,1994,Released,Exotica,6.5,,False
True,0.0,18395,4.322726,1994,Released,Exit to Eden,4.3,,False
True,18000000.0,522,11.720358,1994,Released,Ed Wood,7.3,,False
True,0.0,397,9.146544,1995,Released,French Kiss,6.2,,False
True,0.0,10525,16.236745,1995,Released,Forget Paris,6.1,,False
True,0.0,27985,2.657337,1995,Released,Far from Home: The Adventures of Yellow Dog,5.6,,False
True,0.0,15789,10.177977,1995,Released,A Goofy Movie,6.7,,False
True,15000000.0,27303,8.182165,1995,Released,Hideaway,5.0,,False
True,0.0,21183,4.953936,1995,Released,Fluke,6.6,,False
True,0.0,10954,8.935058,1994,Released,Farinelli,5.9,,False
True,0.0,47867,0.398924,1995,Released,Gordy,3.0,,False
True,0.0,43475,0.090452,1995,Released,Gumby: The Movie,5.0,,False
True,0.0,72031,1.012197,1994,Released,The Glass Shield,5.4,,False
True,700000.0,14275,9.47666,1994,Released,Hoop Dreams,7.7,,False
True,5000000.0,1024,9.438042,1994,Released,Heavenly Creatures,6.9,,False
True,10500000.0,17207,2.688562,1995,Released,Houseguest,6.0,,False
True,120.0,13701,7.983666,1994,Released,Immortal Beloved,6.9,,False
True,0.0,14819,9.546707,1995,Released,Heavyweights,6.0,,False
True,0.0,32631,2.756986,1995,Released,The Hunted,6.0,,False
True,25000000.0,11777,5.146352,1994,Released,I.Q.,5.9,,False
True,60000000.0,628,11.970205,1994,Released,Interview with the Vampire,7.2,,False
True,14000000.0,87729,1.596058,1995,Released,Jefferson in Paris,5.2,,False
True,0.0,18713,0.748846,1995,Released,The Jerky Boys,4.8,,False
True,60000000.0,6280,6.710215,1994,Released,Junior,4.7,,False
True,0.0,9061,9.195256,1995,Released,Just Cause,6.0,,False
